L {X=185,Y=193} {X=239,Y=483} 1 Color [A=255, R=0, G=255, B=255]
L {X=534,Y=153} {X=200,Y=436} 1 Color [A=255, R=0, G=255, B=255]
L {X=123,Y=271} {X=280,Y=458} 1 Color [A=255, R=0, G=255, B=255]
L {X=425,Y=75} {X=449,Y=490} 1 Color [A=255, R=127, G=255, B=212]
L {X=425,Y=75} {X=449,Y=490} 1 Color [A=255, R=127, G=255, B=212]
L {X=592,Y=219} {X=8,Y=639} 1 Color [A=255, R=127, G=255, B=212]
L {X=131,Y=209} {X=267,Y=649} 1 Color [A=255, R=127, G=255, B=212]
L {X=597,Y=258} {X=542,Y=597} 1 Color [A=255, R=127, G=255, B=212]
L {X=236,Y=95} {X=365,Y=535} 6 Color [A=255, R=127, G=255, B=212]
L {X=310,Y=583} {X=315,Y=584} 6 Color [A=255, R=255, G=127, B=80]
L {X=310,Y=583} {X=315,Y=584} 6 Color [A=255, R=255, G=127, B=80]
L {X=572,Y=150} {X=147,Y=528} 6 Color [A=255, R=255, G=127, B=80]
L {X=92,Y=247} {X=322,Y=600} 6 Color [A=255, R=255, G=127, B=80]
L {X=521,Y=129} {X=577,Y=467} 6 Color [A=255, R=255, G=127, B=80]
L {X=328,Y=38} {X=19,Y=220} 12 Color [A=255, R=255, G=127, B=80]
L {X=417,Y=89} {X=95,Y=334} 12 Color [A=255, R=255, G=127, B=80]
