L {X=414,Y=341} {X=377,Y=813} 1 Color [A=255, R=0, G=255, B=255]
L {X=552,Y=160} {X=352,Y=574} 1 Color [A=255, R=0, G=255, B=255]
L {X=581,Y=334} {X=580,Y=324} 1 Color [A=255, R=0, G=255, B=255]
L {X=581,Y=334} {X=580,Y=324} 1 Color [A=255, R=0, G=255, B=255]
L {X=620,Y=185} {X=266,Y=487} 1 Color [A=255, R=0, G=255, B=255]
L {X=201,Y=226} {X=267,Y=421} 1 Color [A=255, R=0, G=255, B=255]
L {X=236,Y=98} {X=144,Y=356} 1 Color [A=255, R=0, G=255, B=255]
L {X=81,Y=123} {X=281,Y=397} 1 Color [A=255, R=0, G=255, B=255]
L {X=378,Y=263} {X=193,Y=446} 1 Color [A=255, R=0, G=255, B=255]
L {X=309,Y=634} {X=556,Y=570} 1 Color [A=255, R=0, G=255, B=255]
L {X=309,Y=634} {X=556,Y=570} 1 Color [A=255, R=0, G=255, B=255]
L {X=565,Y=447} {X=249,Y=396} 1 Color [A=255, R=0, G=255, B=255]
L {X=126,Y=549} {X=164,Y=668} 1 Color [A=255, R=0, G=255, B=255]
L {X=119,Y=405} {X=310,Y=279} 1 Color [A=255, R=0, G=255, B=255]
L {X=504,Y=103} {X=255,Y=198} 1 Color [A=255, R=0, G=255, B=255]
L {X=55,Y=158} {X=162,Y=433} 1 Color [A=255, R=0, G=255, B=255]
L {X=25,Y=492} {X=369,Y=395} 1 Color [A=255, R=0, G=255, B=255]
L {X=560,Y=147} {X=560,Y=147} 1 Color [A=255, R=255, G=255, B=255]
